data,venda,estoque,preco
2016-06-17,243,1756,1.66
2016-06-18,438,1318,1.66
2016-06-19,334,985,1.68
2016-06-20,149,836,2.59
2016-06-21,32,803,2.59
2016-06-22,39,2204,2.59
2016-06-23,42,2738,2.59
2016-06-24,64,2674,2.39
2016-06-25,170,2504,2.39
2016-06-26,132,2372,2.39
2016-06-27,123,2249,2.39
2016-06-28,78,2171,2.39
2016-06-29,130,2041,2.39
2016-06-30,141,1900,2.39
2016-07-01,247,1653,2.39
2016-07-02,322,1331,2.39
2016-07-03,196,1135,2.39
2016-07-04,172,963,2.39
2016-07-05,218,1413,2.39
2016-07-06,216,1965,2.39
2016-07-07,179,1882,2.39
2016-07-08,32,2234,2.39
2016-07-09,95,2139,2.39
2016-07-10,78,2061,2.39
2016-07-11,122,1939,2.39
2016-07-12,164,1967,1.89
2016-07-13,288,1670,1.89
2016-07-14,138,1532,1.89
2016-07-15,189,1343,1.89
2016-07-16,321,1022,1.89
2016-07-17,209,813,1.89
2016-07-18,161,1420,1.89
2016-07-19,157,1359,1.89
2016-07-20,283,1075,1.89
2016-07-21,60,1015,2.39
2016-07-22,98,917,2.39
2016-07-23,133,1550,2.39
2016-07-24,130,1420,2.39
2016-07-25,62,1358,2.39
2016-07-26,97,2893,2.39
2016-07-27,98,3179,2.39
2016-07-28,108,3071,2.39
2016-07-29,128,4095,2.39
2016-07-30,270,3825,2.39
2016-07-31,183,3642,2.39
